Bitcoin,$7568.59,BTC,https://coinmarketcap.com/currencies/bitcoin/
Ethereum,$141.67,ETH,https://coinmarketcap.com/currencies/ethereum/
XRP,$0.217773,XRP,https://coinmarketcap.com/currencies/xrp/
Bitcoin Cash,$235.82,BCH,https://coinmarketcap.com/currencies/bitcoin-cash/
Tether,$1.00,USDT,https://coinmarketcap.com/currencies/tether/
Litecoin,$45.06,LTC,https://coinmarketcap.com/currencies/litecoin/
EOS,$2.80,EOS,https://coinmarketcap.com/currencies/eos/
Binance Coin,$14.69,BNB,https://coinmarketcap.com/currencies/binance-coin/
Bitcoin SV,$115.77,BSV,https://coinmarketcap.com/currencies/bitcoin-sv/
Stellar,$0.048847,XLM,https://coinmarketcap.com/currencies/stellar/
Monero,$55.95,XMR,https://coinmarketcap.com/currencies/monero/
TRON,$0.014260,TRX,https://coinmarketcap.com/currencies/tron/
Cardano,$0.036095,ADA,https://coinmarketcap.com/currencies/cardano/
Tezos,$1.32,XTZ,https://coinmarketcap.com/currencies/tezos/
UNUS SED LEO,$0.868399,LEO,https://coinmarketcap.com/currencies/unus-sed-leo/
Cosmos,$4.17,ATOM,https://coinmarketcap.com/currencies/cosmos/
Huobi Token,$2.98,HT,https://coinmarketcap.com/currencies/huobi-token/
Neo,$9.66,NEO,https://coinmarketcap.com/currencies/neo/
Chainlink,$1.90,LINK,https://coinmarketcap.com/currencies/chainlink/
Ethereum Classic,$4.94,ETC,https://coinmarketcap.com/currencies/ethereum-classic/
HedgeTrade,$1.84,HEDG,https://coinmarketcap.com/currencies/hedgetrade/
Dash,$55.84,DASH,https://coinmarketcap.com/currencies/dash/
USD Coin,$1.01,USDC,https://coinmarketcap.com/currencies/usd-coin/
IOTA,$0.180845,MIOTA,https://coinmarketcap.com/currencies/iota/
Maker,$461.28,MKR,https://coinmarketcap.com/currencies/maker/
Crypto.com Coin,$0.035797,CRO,https://coinmarketcap.com/currencies/crypto-com-coin/
Ontology,$0.570235,ONT,https://coinmarketcap.com/currencies/ontology/
VeChain,$0.005657,VET,https://coinmarketcap.com/currencies/vechain/
NEM,$0.033534,XEM,https://coinmarketcap.com/currencies/nem/
Dogecoin,$0.002431,DOGE,https://coinmarketcap.com/currencies/dogecoin/
Zcash,$32.25,ZEC,https://coinmarketcap.com/currencies/zcash/
Basic Attention Token,$0.191368,BAT,https://coinmarketcap.com/currencies/basic-attention-token/
Paxos Standard,$1.00,PAX,https://coinmarketcap.com/currencies/paxos-standard/
FTX Token,$2.15,FTT,https://coinmarketcap.com/currencies/ftx-token/
Decred,$18.12,DCR,https://coinmarketcap.com/currencies/decred/
Qtum,$1.70,QTUM,https://coinmarketcap.com/currencies/qtum/
TrueUSD,$1.01,TUSD,https://coinmarketcap.com/currencies/trueusd/
Synthetix Network Token,$0.852142,SNX,https://coinmarketcap.com/currencies/synthetix-network-token/
Ravencoin,$0.023737,RVN,https://coinmarketcap.com/currencies/ravencoin/
Algorand,$0.242784,ALGO,https://coinmarketcap.com/currencies/algorand/
0x,$0.194802,ZRX,https://coinmarketcap.com/currencies/0x/
Holo,$0.000694,HOT,https://coinmarketcap.com/currencies/holo/
OKB,$2.78,OKB,https://coinmarketcap.com/currencies/okb/
Augur,$9.62,REP,https://coinmarketcap.com/currencies/augur/
Seele,$0.139831,SEELE,https://coinmarketcap.com/currencies/seele/
Bitcoin Gold,$5.58,BTG,https://coinmarketcap.com/currencies/bitcoin-gold/
OmiseGO,$0.669626,OMG,https://coinmarketcap.com/currencies/omisego/
Centrality,$0.087043,CENNZ,https://coinmarketcap.com/currencies/centrality/
Nano,$0.688130,NANO,https://coinmarketcap.com/currencies/nano/
ZB Token,$0.197891,ZB,https://coinmarketcap.com/currencies/zb-token/
Waves,$0.906251,WAVES,https://coinmarketcap.com/currencies/waves/
Swipe,$1.47,SXP,https://coinmarketcap.com/currencies/swipe/
KuCoin Shares,$1.09,KCS,https://coinmarketcap.com/currencies/kucoin-shares/
THETA,$0.098840,THETA,https://coinmarketcap.com/currencies/theta/
Molecular Future,$1.82,MOF,https://coinmarketcap.com/currencies/molecular-future/
DigiByte,$0.005614,DGB,https://coinmarketcap.com/currencies/digibyte/
Lisk,$0.578482,LSK,https://coinmarketcap.com/currencies/lisk/
MCO,$4.36,MCO,https://coinmarketcap.com/currencies/crypto-com/
Bytom,$0.068642,BTM,https://coinmarketcap.com/currencies/bytom/
Komodo,$0.566586,KMD,https://coinmarketcap.com/currencies/komodo/
ABBC Coin,$0.119623,ABBC,https://coinmarketcap.com/currencies/abbc-coin/
LUNA,$0.230477,LUNA,https://coinmarketcap.com/currencies/luna/
BitTorrent,$0.000302,BTT,https://coinmarketcap.com/currencies/bittorrent/
Nexo,$0.112894,NEXO,https://coinmarketcap.com/currencies/nexo/
ICON,$0.120366,ICX,https://coinmarketcap.com/currencies/icon/
Bitcoin Diamond,$0.330276,BCD,https://coinmarketcap.com/currencies/bitcoin-diamond/
IOST,$0.005056,IOST,https://coinmarketcap.com/currencies/iostoken/
Horizen,$7.45,ZEN,https://coinmarketcap.com/currencies/horizen/
Enjin Coin,$0.076541,ENJ,https://coinmarketcap.com/currencies/enjin-coin/
Siacoin,$0.001375,SC,https://coinmarketcap.com/currencies/siacoin/
Verge,$0.003547,XVG,https://coinmarketcap.com/currencies/verge/
V Systems,$0.029702,VSYS,https://coinmarketcap.com/currencies/v-systems/
MonaCoin,$0.846950,MONA,https://coinmarketcap.com/currencies/monacoin/
Bytecoin,$0.000295,BCN,https://coinmarketcap.com/currencies/bytecoin-bcn/
Energi,$2.12,NRG,https://coinmarketcap.com/currencies/energi/
HyperCash,$1.14,HC,https://coinmarketcap.com/currencies/hypercash/
DxChain Token,$0.000946,DX,https://coinmarketcap.com/currencies/dxchain-token/
Zilliqa,$0.004787,ZIL,https://coinmarketcap.com/currencies/zilliqa/
BitShares,$0.016639,BTS,https://coinmarketcap.com/currencies/bitshares/
Steem,$0.123675,STEEM,https://coinmarketcap.com/currencies/steem/
Quant,$3.50,QNT,https://coinmarketcap.com/currencies/quant/
BlockStamp,$1.60,BST,https://coinmarketcap.com/currencies/blockstamp/
Ardor,$0.040674,ARDR,https://coinmarketcap.com/currencies/ardor/
Aeternity,$0.134869,AE,https://coinmarketcap.com/currencies/aeternity/
Matic Network,$0.015478,MATIC,https://coinmarketcap.com/currencies/matic-network/
MaidSafeCoin,$0.086825,MAID,https://coinmarketcap.com/currencies/maidsafecoin/
Decentraland,$0.036344,MANA,https://coinmarketcap.com/currencies/decentraland/
Kyber Network,$0.224129,KNC,https://coinmarketcap.com/currencies/kyber-network/
Silverway,$0.376893,SLV,https://coinmarketcap.com/currencies/silverway/
Crypterium,$0.373995,CRPT,https://coinmarketcap.com/currencies/crpt/
Single Collateral DAI ,$1.00,SAI,https://coinmarketcap.com/currencies/single-collateral-dai/
DigixDAO,$18.47,DGD,https://coinmarketcap.com/currencies/digixdao/
